Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
raefsky2.mtx,3242,3242,294276,0.02799812,19,0.000123,588552,4.780930,4.20
raefsky2.mtx,3242,3242,294276,0.02799812,20,0.000121,588552,4.881981,4.29
raefsky2.mtx,3242,3242,294276,0.02799812,21,0.000059,588552,9.988823,8.78
raefsky2.mtx,3242,3242,294276,0.02799812,22,0.001276,588552,0.461148,0.41
raefsky2.mtx,3242,3242,294276,0.02799812,23,0.001030,588552,0.571416,0.50
raefsky2.mtx,3242,3242,294276,0.02799812,24,0.000067,588552,8.824124,7.76
raefsky2.mtx,3242,3242,294276,0.02799812,25,0.001828,588552,0.322039,0.28
raefsky2.mtx,3242,3242,294276,0.02799812,26,0.000235,588552,2.506844,2.20
raefsky2.mtx,3242,3242,294276,0.02799812,27,0.002010,588552,0.292768,0.26
raefsky2.mtx,3242,3242,294276,0.02799812,28,0.000059,588552,10.052540,8.84
raefsky2.mtx,3242,3242,294276,0.02799812,29,0.004082,588552,0.144172,0.13
raefsky2.mtx,3242,3242,294276,0.02799812,30,0.002231,588552,0.263757,0.23
raefsky2.mtx,3242,3242,294276,0.02799812,31,0.000060,588552,9.759212,8.58
raefsky2.mtx,3242,3242,294276,0.02799812,32,0.000778,588552,0.756022,0.66
raefsky2.mtx,3242,3242,294276,0.02799812,33,0.000063,588552,9.304988,8.18
raefsky2.mtx,3242,3242,294276,0.02799812,34,0.002323,588552,0.253343,0.22
