Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,26,0.059167,254412288,4.299909,2.68
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,27,0.060926,254412288,4.175760,2.61
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,28,0.062760,254412288,4.053706,2.53
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,29,0.063413,254412288,4.011992,2.50
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,30,0.065007,254412288,3.913635,2.44
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,31,0.065773,254412288,3.868014,2.41
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,32,0.066893,254412288,3.803245,2.37
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,33,0.068477,254412288,3.715279,2.32
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,34,0.069307,254412288,3.670809,2.29
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,35,0.070080,254412288,3.630330,2.27
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,36,0.071040,254412288,3.581277,2.23
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,37,0.072190,254412288,3.524186,2.20
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,38,0.072469,254412288,3.510626,2.19
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,39,0.073554,254412288,3.458845,2.16
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,40,0.074028,254412288,3.436703,2.14
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,2,0.000864,861480,0.997300,0.56
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,3,0.000275,861480,3.131446,1.74
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,4,0.000192,861480,4.489868,2.50
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,5,0.000155,861480,5.564354,3.10
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,6,0.000130,861480,6.639657,3.70
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,7,0.000155,861480,5.555782,3.09
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,8,0.000135,861480,6.383520,3.55
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,9,0.000170,861480,5.066575,2.82
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,10,0.000119,861480,7.239145,4.03
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,11,0.000110,861480,7.826077,4.36
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,12,0.000123,861480,7.021060,3.91
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,13,0.000120,861480,7.191531,4.00
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,14,0.000110,861480,7.848788,4.37
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,15,0.000114,861480,7.553514,4.20
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,16,0.000112,861480,7.672969,4.27
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,17,0.000103,861480,8.346293,4.65
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,18,0.000100,861480,8.600957,4.79
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,19,0.000097,861480,8.837324,4.92
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,20,0.000106,861480,8.100029,4.51
